회사명,제목,링크,지역,연봉정보,마감일,직무분야,카테고리
(주)댄디테크앤리얼티,"파이썬 개발자 경력직 모집, AI vision 경험자 우대",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501493&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 마포구,급성장중,~ 12/31(화),"Python, 딥러닝, 솔루션, 신경망, 컴퓨터비전 외                    수정일 24/12/01","['Python', '딥러닝', '솔루션', '신경망', '컴퓨터비전 외                    수정일 24/12/01']"
링크루트,[유망 스타트업] [경력] 백엔드 개발자 채용 (파이썬),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49236283&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 관악구,재택근무,채용시,"Python, AWS, 백엔드/서버개발, 프론트엔드, Django 외                    등록일 24/10/21","['Python', 'AWS', '백엔드/서버개발', '프론트엔드', 'Django 외                    등록일 24/10/21']"
(주)세종교육,파이썬 개발자 과정 강사 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49563510&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,경기 성남시,취업축하금,~ 01/08(수),"보조강사, 파트강사, 학원강사, 학원보조, IT강사 외                    수정일 24/12/10","['보조강사', '파트강사', '학원강사', '학원보조', 'IT강사 외                    수정일 24/12/10']"
(주)더블유컴퓨터아트학원천호점,"IT 프로그래밍, C언어, 파이썬 강사 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49586939&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 강동구,오늘 뜬,~ 01/12(일),"학원강사, IT강사, 디자인, IT학원 등록일 24/12/13","['학원강사', 'IT강사', '디자인', 'IT학원 등록일 24/12/13']"
동원컴퓨터학원,"전산회계/세무2급, 파이썬(코딩), 오토캐드 강사 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528716&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,경남 김해시,,~ 12/20(금),"파트강사, 훈련교사, IT강사, 전산회계, 코딩 외                    등록일 24/12/04","['파트강사', '훈련교사', 'IT강사', '전산회계', '코딩 외                    등록일 24/12/04']"
더조은컴퓨터아카데미종로,"[NCS 훈련교사] 빅데이터(파이썬)엘러스틱서치,자바웹 전문강사",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49408730&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 종로구,마감임박,~ 12/15(일),"직업훈련, 컴퓨터교육, 훈련교사, IT학원 등록일 24/11/15","['직업훈련', '컴퓨터교육', '훈련교사', 'IT학원 등록일 24/11/15']"
캐논코리아 주식회사,2024년 12월 캐논코리아 신입사원(채용연계형인턴)모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524700&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 강남구,건설·건축 지원 TOP100,~ 12/15(일),"Python, C++, Java, 솔루션, Linux 외                    수정일 24/12/05","['Python', 'C++', 'Java', '솔루션', 'Linux 외                    수정일 24/12/05']"
(주)우진플라임,㈜우진플라임 부문별 인재채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49582494&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,충북 보은군,오늘 뜬,~ 01/11(토),"Python, C++, Java, 웹개발, 게임개발 외                    수정일 24/12/13","['Python', 'C++', 'Java', '웹개발', '게임개발 외                    수정일 24/12/13']"
(주)위즈코리아,㈜위즈코리아/㈜위즈COK '24년 하반기 신입/경력 사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48464887&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,서울 강서구,디자인 지원 TOP100,~ 12/31(화),"Python, C++, Java, 솔루션, Linux 외                    수정일 24/11/20","['Python', 'C++', 'Java', '솔루션', 'Linux 외                    수정일 24/11/20']"
디아이티(주),2024년 하반기 각 부문별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49563660&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=7fc19ba3-5153-4a29-9ee1-aebabf3ff2f9,경기 화성시,생산 지원 TOP100,~ 01/09(목),"Python, C++, Java, 딥러닝, 머신러닝 외                    수정일 24/12/11","['Python', 'C++', 'Java', '딥러닝', '머신러닝 외                    수정일 24/12/11']"
